Company names,links,Category
NIFCO INC,https://www.nifco.com/en/ir/report.html,Investors Page
LINGOTES ESPECIALES SA,https://www.lingotes.com/accionistas-e-inversores/informacion-economica-y-financiera/cuentas-anuales/,Investors Page
FOSTER ELECTRIC JAPAN LTD,https://www.foster-electric.com/investors/financial_results/index.html,Investors Page
VITESCO TECHNOLOGIES ITALY S.R.L.,https://ir.vitesco-technologies.com/websites/vitesco/English/4000/reports-_-presentations.html#annual,Investors Page
ALPS ELECTRIC CO LTD,https://www.alpsalpine.com/e/ir/library/accounts/,Investors Page
UMICORE AG & CO.KG,https://www.umicore.com/en/investors/annual-report/archive/ -->2022 https://annualreport.umicore.com/en/2023 -2023,Investors Page
ARVINMERITOR,https://investor.cummins.com/financial-info/financial-results,Investors Page
DAIDO METAL CO LTD,https://www.daidometal.com/investors/ir-library/finance/,Investors Page
"DRAXTON POWERTRAIN & CHASSIS, S.L.",https://ri.gis.investorcloud.net/en/informes-anuales,Investors Page
NUANCE COMMUNICATIONS INTERNATIONAL BVBA,https://www.microsoft.com/en-us/Investor/annual-reports.aspx,Investors Page
SMR AUTOMOTIVE BETEILIGUNGEN DEUTSCHLAND GMBH,https://smrpbv.com/investor-relations.html,Investors Page
PARKER HANNIFIN CORP,https://investors.parker.com/financial-information/financial-results,Investors Page
BLACK & DECKER US INC,https://ir.stanleyblackanddecker.com/financials/annual-reports-proxy-statements/default.aspx,Investors Page
TECSYN INTERNATIONAL INC.,https://www.excocorp.com/investors/financial-reports-public-filings/annual-reports/,Investors Page
KONGSBERG DRIVELINE SYSTEMS II CORP,https://www.kongsbergautomotive.com/investor-relations/company-reports/,Investors Page
GARMIN USA,https://www.garmin.com/en-IN/investors/earnings/,Investors Page
SHW AG,https://www.shw.de/en/investor-relations/financial-presentations/,Investors Page
AD PLASTIK DD,https://www.adplastik.hr/en/investors/reports,Investors Page
SUMITOMO CORPORATION,https://www.sumitomocorp.com/en/jp/ir/report,Investors Page
TOYODA GOSEI LTD,https://www.toyoda-gosei.com/ir/document/accounts_data/,Investors Page
TRIMOTIVE,https://ir.trimascorp.com/annual-reports,Investors Page
AAPICO HITECH PUBLIC COMPANY LIMITED.,https://investor.aapico.com/en,Investors Page
CEQUENT NEDERLAND HOLDINGS B.V.,https://ir.trimascorp.com/annual-reports,Investors Page
SMRC AUTOMOTIVE TECH ARGENTINA SA,https://www.motherson.com/performance/samil-investors/annual-reports,Investors Page
CLIFFS STEEL INC.,https://www.clevelandcliffs.com/investors/financial-information/financial-results,Investors Page
SGL COMPOSITES GMBH,https://www.sglcarbon.com/en/investor-relations/publications-news-key-figures/#type:53,Investors Page
KOITO MFG CO,https://www.koito.co.jp/english/ir/info/earningsreport/,Investors Page
DLHBOWLES INC.,https://abctechnologies.com/investors/,Investors Page
FUYAO GLASS INDUSTRY GROUP CO LTD,https://www.fuyaogroup.com/en/investor_list_99.html,Investors Page
SMITHS PLASTICS (PTY) LTD T/A AUTOMOULD,https://www.metair.co.za/investors/results-centre/,Investors Page
VOEST ALPINE STAHL LINZ GMBH,https://www.voestalpine.com/group/en/investors/financial-statements/,Investors Page
US STEEL GROUP,https://investors.ussteel.com/sec-filings/all-sec-filings,Investors Page
"LG MAGNA E-POWERTRAIN CO., LTD.",https://www.magna.com/company/investors/financial-reports-public-filings/annual-reports,Investors Page
ASAHI GLASS CO LTD,https://www.agc.com/en/ir/library/index.html,Investors Page
ZKW GROUP GMBH,https://www.lg.com/global/investor-relations/financial-information/,Investors Page
SKF AB,https://investors.skf.com/en,Investors Page
RB & W CORP,https://pkoh.com/investor-relations/annual-reports,Investors Page
SHOWA DENKO KK,https://www.resonac.com/ir/library/results.html?intcid=glnavi_ir_library_results&_gl=1*12bu1iz*_up*MQ..*_ga*NzMwNzEzMDE5LjE3MTgzMDYzODU.*_ga_X0Y5W1RQ6E*MTcxODMwNjM4NS4xLjEuMTcxODMwNjM5NS4wLjAuMA..*_ga_KL6329XMEP*MTcxODMwNjM4NS4xLjEuMTcxODMwNjM5NS4wLjAuMA..*_ga_VQYKXCQMD4*MTcxODMwNjM4NS4xLjEuMTcxODMwNjM5NS4wLjAuMA..,Investors Page
BENDIX COMMERCIAL VEHICLE SYSTEMS LLC,https://ir.knorr-bremse.com/websites/knorrbremse_ir/English/3000/financial-publications-_-presentations.html,Investors Page
